runid,Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC,Administered_Dose1_Recip_65Plus,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Recip_Administered,Census2019_18PlusPop,MMWR_week,Ratio_Admin_Dist,Administered_Dose_Other,Administered_Dose_Other_Per_100K
1875,2021-03-25,US,USA,United States,331996199,Report,173525335,133305295,52267,40153,62877755,67555076,2734367,138097,87343622,26.3,13.5,87092275,33.7,132986237,51519,67224,71.0,62866447,114936,317249,44704001,44637940,17.3,82994000,85716735,4814600,0,21104642,23568380,2716162,30648,21093451,23513538,2713046,30621,11483209,12253448,759519,10346,47419832,14.3,47350657,18.3,24506522,44.8,,,,,,,,,,,,,,,
1875,2021-03-25,AK,AKA,Alaska,731545,Report,549315,384503,75090,52560,175873,205163,3411,56,236062,32.3,20.2,232508,42.2,379400,68786,99593,71.3,117473,128262,599767,147600,146057,26.5,261300,272415,15600,0,66641,80950,3380,9,66573,79475,3368,9,31768,21831,394,3,150980,20.6,149425,27.1,53996,59.0,,,,,,,,,,,,,,,
1875,2021-03-25,AL,ALA,Alabama,4903185,Report,2459980,1579091,50171,32205,798555,748027,32509,0,1048838,21.4,11.6,1047667,27.5,1577753,41358,64484,60.6,815166,95920,289465,567276,567074,14.9,1250600,1139580,69800,0,287076,280174,33390,26,287050,279998,33387,26,173792,142803,12996,16,600666,12.3,600461,15.7,329607,38.8,,,,,,,,,,,,,,,
1875,2021-03-25,AR,ARA,Arkansas,3017804,Report,1576060,1056307,52225,35003,521978,513103,21003,223,710494,23.5,11.5,708804,30.6,1054525,45500,68003,61.9,500857,95605,300843,346045,345891,14.9,787100,746460,42500,0,171874,174124,20619,47,171853,173991,20597,47,101437,76556,3936,36,366664,12.2,366488,15.8,181965,34.7,,,,,,,,,,,,,,,
1875,2021-03-25,AS,ASA,American Samoa,55689,Report,43810,27864,78669,50035,6049,21815,0,0,17385,31.2,19.0,16858,38.8,27046,62265,100859,23.1,3636,38407,462765,10563,10275,23.7,12400,30810,600,0,2228,8335,3,0,2227,8048,3,0,590,920,1,0,10566,19.0,10278,23.7,1511,16.0,,,,,,,,,,,,,,,
1875,2021-03-25,AZ,AZA,Arizona,7278717,Report,3797605,3106598,52174,42681,1427420,1643687,34256,1235,1940953,26.7,14.8,1934583,34.3,3095696,54903,67352,69.2,1536550,117416,290196,1075612,1072602,19.0,1852800,1840605,104200,0,484046,591144,32785,422,483976,588204,32746,422,265251,308606,9556,295,1108397,15.2,1105348,19.6,583708,44.6,,,,,,,,,,,,,,,
1875,2021-03-25,BP2,BP2,Bureau of Prisons,0,Report,97960,95200,0,0,36834,58010,356,0,57195,0.0,0.0,57195,0.0,95200,0,0,0.0,4200,0,0,37485,37485,0.0,40100,56160,1700,0,13641,23844,355,0,13641,23844,355,0,707,987,2,0,37840,0.0,37840,0.0,1696,0.0,,,,,,,,,,,,,,,
1875,2021-03-25,CA,CAA,California,39512223,Report,20941290,16062266,53000,40651,7657240,8124091,279788,1147,10757446,27.2,13.2,10718119,35.0,16016524,52312,68396,75.4,7199280,123315,358700,5203612,5197347,17.0,10075100,10276890,589300,0,2451735,2751695,277685,182,2450910,2746255,277143,182,1399894,1347540,40042,120,5481297,13.9,5474490,17.9,2787596,47.7,,,,,,,,,,,,,,,
1875,2021-03-25,CO,COA,Colorado,5758736,Report,3006760,2388899,52212,41483,1152753,1182407,53133,606,1510575,26.2,14.9,1505829,33.5,2383292,52971,66829,75.8,1118078,132723,356923,860585,859719,19.1,1476000,1456260,74500,0,404347,456095,52222,143,404266,455310,52139,143,227534,243306,7743,86,912807,15.9,911858,20.3,478669,56.8,,,,,,,,,,,,,,,
1875,2021-03-25,CT,CTA,Connecticut,3565287,Report,2097155,1737160,58821,48724,772806,923866,40360,128,1131532,31.7,16.6,1129873,39.8,1734677,61127,73900,81.5,883308,140153,332753,591885,591193,20.8,959000,1082055,56100,0,258079,333789,40315,17,257920,333256,40285,17,130852,227575,4705,10,632200,17.7,631478,22.3,363142,57.6,,,,,,,,,,,,,,,
